Nodos	X	Y
0	69	0
1	55	20
2	78	52
3	25	15
4	57	23
5	56	71
6	54	99
7	11	32
8	97	78
9	66	1
10	90	40
11	98	7
12	27	71
13	50	37
14	69	86
15	51	83
16	49	73
17	13	9
18	78	92
19	93	2
20	85	19
21	30	11
22	68	33
23	87	26
24	45	100
25	19	0
26	75	3
27	69	27
28	9	54
29	39	84
30	92	92
31	30	97
32	28	56
33	98	78
34	12	100
35	11	19
36	38	85
37	7	41
38	55	78
39	99	37
40	42	94
41	62	3
42	39	5
43	25	31
44	19	88
45	86	93
46	18	77
47	81	45
48	41	95
49	88	75
50	44	91
51	85	34
52	43	80
53	0	64
54	90	44
55	28	96
56	46	35
57	13	75
58	97	97
59	59	11
60	31	37
61	99	8
62	93	95
63	82	8
64	35	12
65	18	37
66	84	61
67	88	86
68	68	23
69	55	3
70	43	19
71	36	0
72	22	90
73	57	54
74	19	41
75	40	77
76	38	83
77	1	7
78	6	68
79	65	20
80	82	74
81	57	19
82	89	32
83	97	28
84	83	73
85	12	18
86	18	28
87	91	99
88	92	66
89	1	33
90	2	80
91	84	32
92	27	57
93	15	17
94	90	77
95	58	88
96	9	53
97	83	83
98	44	61
99	24	2
100	13	94
101	83	18
102	7	8
103	78	58
104	18	10
105	93	35
106	37	29
107	45	22
108	14	77
109	57	27
110	4	88
111	21	70
112	13	82
113	42	83
114	81	15
115	51	90
116	74	68
117	90	22
118	37	97
119	46	13
120	67	28
121	60	67
122	99	11
123	99	80
124	28	34
125	79	37
126	96	48
127	1	22
128	1	56
129	11	92
130	56	32
131	76	90
132	34	64
133	30	5
134	96	52
135	57	25
136	17	7
137	14	84
138	58	49
139	94	10
140	42	56
141	58	2
142	87	60
143	83	41
144	65	11
145	80	67
146	61	76
147	11	50
148	77	98
149	21	100
150	24	74
151	11	52
152	6	22
153	88	52
154	47	87
155	46	44
156	34	80
157	97	54
158	93	36
159	56	33
160	32	26
161	3	39
162	65	36
163	63	74
164	49	54
165	99	12
166	5	27
167	62	4
168	24	96
169	83	39
170	91	48
171	36	73
172	51	64
173	62	46
174	24	31
175	49	96
176	53	98
177	64	86
178	99	53
179	15	44
180	48	27
181	82	10
182	75	13
183	98	79
184	76	75
185	2	65
186	32	52
187	77	84
188	50	6
189	31	27
190	53	72
191	33	1
192	86	53
193	45	10
194	6	61
195	31	4
196	61	85
197	0	73
198	67	3
199	93	73
